,h_p: 2.135 ft,h_p: 7.398 ft,h_p: 12.662 ft,h_p: 17.925 ft,h_p: 23.188 ft,h_p: 28.451 ft,h_p: 33.714 ft,h_p: 38.977 ft,h_p: 44.24 ft,h_p: 49.504 ft,h_p: 54.767 ft,h_p: 60.03 ft,h_p: 65.293 ft,h_p: 70.556 ft,h_p: 75.819 ft,h_p: 81.083 ft,h_p: 86.346 ft,h_p: 91.609 ft,h_p: 96.872 ft,h_p: 102.135 ft
0,2.1352,7.398357894736843,12.661515789473686,17.92467368421053,23.18783157894737,28.450989473684213,33.71414736842105,38.977305263157895,44.24046315789474,49.50362105263158,54.76677894736842,60.029936842105265,65.29309473684211,70.55625263157896,75.81941052631579,81.08256842105263,86.34572631578948,91.60888421052633,96.87204210526316,102.1352
1,0.0198697,0.0211734,0.0225861,0.023304,0.023696,0.0239282,0.0240751,0.0241734,0.0242421,0.0242919,0.0243289,0.0243573,0.0243795,0.0243971,0.0244114,0.0244231,0.0244328,0.0244409,0.0244478,0.0245081
2,0.0156426,0.0165557,0.0176463,0.0182034,0.0185082,0.0186889,0.0188034,0.0188799,0.0189335,0.0189723,0.0190012,0.0190233,0.0190406,0.0190544,0.0190655,0.0190747,0.0190823,0.0190886,0.019094,0.019141
3,0.0119125,0.0124967,0.0133062,0.0137226,0.013951,0.0140866,0.0141726,0.0142301,0.0142703,0.0142995,0.0143213,0.0143379,0.0143509,0.0143613,0.0143697,0.0143766,0.0143823,0.014387,0.0143911,0.0144265
4,0.0086842,0.0090016,0.0095712,0.0098671,0.0100299,0.0101268,0.0101883,0.0102295,0.0102583,0.0102792,0.0102948,0.0103067,0.0103161,0.0103235,0.0103295,0.0103345,0.0103386,0.010342,0.0103449,0.0103704
5,0.0059614,0.0060745,0.0064458,0.0066415,0.0067498,0.0068144,0.0068555,0.006883,0.0069023,0.0069163,0.0069268,0.0069348,0.006941,0.006946,0.0069501,0.0069534,0.0069561,0.0069584,0.0069604,0.0069775
6,0.0037475,0.0037189,0.0039337,0.0040498,0.0041146,0.0041534,0.0041782,0.0041948,0.0042064,0.0042149,0.0042212,0.0042261,0.0042299,0.0042329,0.0042354,0.0042374,0.004239,0.0042404,0.0042416,0.004252
7,0.0020452,0.0019379,0.0020382,0.0020952,0.0021275,0.0021471,0.0021596,0.002168,0.0021739,0.0021783,0.0021815,0.002184,0.0021859,0.0021875,0.0021887,0.0021898,0.0021906,0.0021913,0.0021919,0.0021973
8,0.0008566,0.0007335,0.0007614,0.00078,0.000791,0.0007978,0.0008022,0.0008052,0.0008073,0.0008089,0.00081,0.0008109,0.0008116,0.0008122,0.0008127,0.000813,0.0008133,0.0008136,0.0008138,0.0008158
9,0.0001831,0.0001072,0.000105,0.0001059,0.0001067,0.0001073,0.0001077,0.000108,0.0001082,0.0001084,0.0001085,0.0001086,0.0001087,0.0001088,0.0001088,0.0001089,0.0001089,0.0001089,0.000109,0.0001092
10,2.56e-05,5.97e-05,6.97e-05,7.36e-05,7.54e-05,7.63e-05,7.69e-05,7.73e-05,7.75e-05,7.77e-05,7.79e-05,7.79e-05,7.8e-05,7.81e-05,7.81e-05,7.82e-05,7.82e-05,7.82e-05,7.82e-05,7.84e-05
11,0.0003842,0.0005912,0.0006556,0.0006832,0.0006971,0.000705,0.0007099,0.0007131,0.0007153,0.0007168,0.000718,0.0007189,0.0007196,0.0007201,0.0007205,0.0007209,0.0007212,0.0007214,0.0007216,0.0007234
12,0.0012584,0.001701,0.001862,0.0019339,0.0019712,0.0019926,0.0020058,0.0020146,0.0020207,0.002025,0.0020283,0.0020307,0.0020326,0.0020341,0.0020353,0.0020363,0.0020372,0.0020378,0.0020384,0.0020435
13,0.0026473,0.0033877,0.0036874,0.0038243,0.003896,0.0039374,0.0039632,0.0039802,0.0039921,0.0040006,0.004007,0.0040117,0.0040155,0.0040185,0.0040209,0.0040228,0.0040245,0.0040258,0.004027,0.004037
14,0.0045491,0.0056492,0.0061295,0.006352,0.0064692,0.0065371,0.0065795,0.0066076,0.0066272,0.0066413,0.0066517,0.0066596,0.0066658,0.0066708,0.0066747,0.006678,0.0066807,0.0066829,0.0066848,0.0067014
15,0.0069616,0.0084829,0.0091854,0.009514,0.0096876,0.0097885,0.0098517,0.0098936,0.0099227,0.0099437,0.0099593,0.0099712,0.0099804,0.0099878,0.0099937,0.0099986,0.0100026,0.010006,0.0100088,0.0100336
16,0.0098817,0.0118853,0.0128515,0.0133064,0.0135475,0.0136878,0.0137757,0.0138341,0.0138747,0.013904,0.0139257,0.0139423,0.0139552,0.0139655,0.0139738,0.0139805,0.0139862,0.0139909,0.0139949,0.0140295
17,0.013306,0.0158522,0.0171231,0.0177245,0.0180439,0.0182301,0.0183468,0.0184243,0.0184783,0.0185172,0.0185461,0.0185681,0.0185853,0.018599,0.01861,0.018619,0.0186265,0.0186328,0.0186381,0.0186842
18,0.0172302,0.0203787,0.0219951,0.022763,0.0231715,0.0234098,0.0235593,0.0236587,0.0237279,0.0237778,0.0238149,0.0238431,0.0238652,0.0238827,0.0238968,0.0239084,0.023918,0.0239261,0.0239329,0.0239921
19,0.0216496,0.0254595,0.0274616,0.0284158,0.0289241,0.0292208,0.029407,0.0295309,0.0296171,0.0296793,0.0297255,0.0297607,0.0297882,0.0298101,0.0298278,0.0298422,0.0298542,0.0298643,0.0298727,0.0299467
20,0.0265587,0.0310882,0.0335159,0.0346759,0.0352945,0.0356559,0.0358827,0.0360336,0.0361387,0.0362145,0.036271,0.0363138,0.0363474,0.036374,0.0363956,0.0364132,0.0364279,0.0364401,0.0364504,0.0365406
21,0.0319517,0.037258,0.0401506,0.0415358,0.0422751,0.0427072,0.0429786,0.0431591,0.0432848,0.0433756,0.0434431,0.0434944,0.0435346,0.0435665,0.0435923,0.0436134,0.0436309,0.0436456,0.043658,0.043766
22,0.0378219,0.0439615,0.0473577,0.0489871,0.0498574,0.0503662,0.0506859,0.0508986,0.0510468,0.0511537,0.0512333,0.0512937,0.0513411,0.0513787,0.0514092,0.0514341,0.0514547,0.051472,0.0514866,0.051614
23,0.0441622,0.0511904,0.0551283,0.0570207,0.058032,0.0586236,0.0589953,0.0592427,0.059415,0.0595394,0.0596319,0.0597023,0.0597574,0.0598012,0.0598366,0.0598656,0.0598896,0.0599097,0.0599267,0.0600749
24,0.0509648,0.0589358,0.0634531,0.0656268,0.0667891,0.0674692,0.0678967,0.0681811,0.0683794,0.0685225,0.0686289,0.0687099,0.0687734,0.0688237,0.0688644,0.0688977,0.0689254,0.0689485,0.0689681,0.0691387
