,h_p: 2.135 ft,h_p: 7.398 ft,h_p: 12.662 ft,h_p: 17.925 ft,h_p: 23.188 ft,h_p: 28.451 ft,h_p: 33.714 ft,h_p: 38.977 ft,h_p: 44.24 ft,h_p: 49.504 ft,h_p: 54.767 ft,h_p: 60.03 ft,h_p: 65.293 ft,h_p: 70.556 ft,h_p: 75.819 ft,h_p: 81.083 ft,h_p: 86.346 ft,h_p: 91.609 ft,h_p: 96.872 ft,h_p: 102.135 ft
0,2.1352,7.398357894736843,12.661515789473686,17.92467368421053,23.18783157894737,28.450989473684213,33.71414736842105,38.977305263157895,44.24046315789474,49.50362105263158,54.76677894736842,60.029936842105265,65.29309473684211,70.55625263157896,75.81941052631579,81.08256842105263,86.34572631578948,91.60888421052633,96.87204210526316,102.1352
1,-1.14896,-0.87206,-0.83291,-0.8188,-0.812,-0.80836,-0.80609,-0.80468,-0.8037,-0.803,-0.80247,-0.8021,-0.80176,-0.80154,-0.80134,-0.80115,-0.80106,-0.80095,-0.80083,-0.8001
2,-1.01443,-0.77107,-0.73678,-0.72445,-0.71852,-0.71534,-0.71336,-0.71213,-0.71128,-0.71067,-0.7102,-0.70988,-0.70959,-0.7094,-0.70922,-0.70906,-0.70898,-0.70889,-0.70878,-0.70815
3,-0.88085,-0.6698,-0.64022,-0.62961,-0.62452,-0.62179,-0.6201,-0.61904,-0.61831,-0.61779,-0.61739,-0.61712,-0.61687,-0.61671,-0.61655,-0.61642,-0.61635,-0.61627,-0.61618,-0.61564
4,-0.74833,-0.56833,-0.54329,-0.53435,-0.53007,-0.52778,-0.52636,-0.52547,-0.52486,-0.52443,-0.52409,-0.52386,-0.52366,-0.52352,-0.52339,-0.52328,-0.52322,-0.52315,-0.52308,-0.52263
5,-0.61697,-0.46672,-0.44605,-0.43872,-0.43522,-0.43336,-0.4322,-0.43148,-0.43098,-0.43063,-0.43036,-0.43018,-0.43001,-0.4299,-0.4298,-0.42971,-0.42966,-0.4296,-0.42954,-0.42918
6,-0.48686,-0.36503,-0.34857,-0.34279,-0.34005,-0.33859,-0.33769,-0.33713,-0.33675,-0.33648,-0.33627,-0.33612,-0.336,-0.33591,-0.33583,-0.33576,-0.33572,-0.33568,-0.33563,-0.33535
7,-0.3581,-0.26332,-0.2509,-0.24662,-0.24461,-0.24355,-0.2429,-0.24249,-0.24221,-0.24202,-0.24187,-0.24176,-0.24167,-0.24161,-0.24155,-0.2415,-0.24148,-0.24145,-0.24141,-0.24122
8,-0.23077,-0.16167,-0.15311,-0.15027,-0.14896,-0.14828,-0.14787,-0.14761,-0.14744,-0.14732,-0.14723,-0.14716,-0.14711,-0.14707,-0.14703,-0.147,-0.14699,-0.14697,-0.14695,-0.14683
9,-0.10496,-0.06013,-0.05526,-0.0538,-0.05317,-0.05286,-0.05268,-0.05257,-0.0525,-0.05245,-0.05241,-0.05238,-0.05236,-0.05234,-0.05233,-0.05232,-0.05231,-0.0523,-0.05229,-0.05225
10,0.01926,0.04122,0.04258,0.04271,0.04269,0.04265,0.04261,0.04258,0.04256,0.04254,0.04253,0.04251,0.0425,0.0425,0.04249,0.04249,0.04248,0.04248,0.04248,0.04245
11,0.14181,0.14234,0.14035,0.13922,0.13858,0.13818,0.13794,0.13777,0.13765,0.13757,0.13751,0.13746,0.13742,0.13739,0.13737,0.13735,0.13733,0.13732,0.13731,0.1372
12,0.26263,0.24316,0.23799,0.23564,0.23441,0.23369,0.23323,0.23294,0.23273,0.23258,0.23247,0.23239,0.23232,0.23227,0.23223,0.2322,0.23217,0.23214,0.23213,0.23195
13,0.38165,0.34361,0.33544,0.33193,0.33013,0.32908,0.32844,0.32802,0.32773,0.32751,0.32736,0.32724,0.32715,0.32708,0.32702,0.32698,0.32693,0.3269,0.32688,0.32663
14,0.49881,0.44364,0.43263,0.42801,0.42567,0.42432,0.42349,0.42294,0.42257,0.4223,0.4221,0.42195,0.42183,0.42174,0.42166,0.42161,0.42155,0.42151,0.42148,0.42117
15,0.61407,0.54318,0.5295,0.52383,0.52097,0.51932,0.51831,0.51766,0.5172,0.51687,0.51663,0.51645,0.51631,0.5162,0.5161,0.51605,0.51597,0.51592,0.51589,0.51551
16,0.72737,0.64219,0.62599,0.61932,0.61597,0.61404,0.61286,0.61209,0.61155,0.61117,0.61089,0.61067,0.61051,0.61039,0.61028,0.61021,0.61012,0.61006,0.61003,0.60958
17,0.83868,0.74059,0.72205,0.71443,0.7106,0.7084,0.70705,0.70617,0.70556,0.70513,0.70481,0.70457,0.70439,0.70424,0.70412,0.70404,0.70394,0.70387,0.70384,0.70332
