NACA 65A304  a=0.8: MADE BY DesignFOIL!
1.000000      -0.000087
0.989934      0.001120
0.979867      0.002328
0.969801      0.003535
0.959734      0.004743
0.949668      0.005950
0.939602      0.007158
0.929535      0.008366
0.919469      0.009573
0.909403      0.010780
0.899336      0.011987
0.889270      0.013194
0.879203      0.014401
0.869152      0.015996
0.859078      0.017220
0.849000      0.018430
0.838917      0.019622
0.828829      0.020791
0.818734      0.021931
0.808627      0.023033
0.798493      0.024083
0.788367      0.025065
0.778248      0.025999
0.768133      0.026891
0.758018      0.027747
0.747904      0.028569
0.737789      0.029359
0.727674      0.030118
0.717559      0.030847
0.707444      0.031547
0.697328      0.032217
0.687211      0.032859
0.677094      0.033474
0.666976      0.034061
0.656857      0.034622
0.646738      0.035156
0.636619      0.035665
0.626499      0.036147
0.616378      0.036604
0.606257      0.037033
0.596136      0.037437
0.586013      0.037814
0.575891      0.038163
0.565768      0.038485
0.555645      0.038779
0.545521      0.039044
0.535397      0.039278
0.525273      0.039484
0.515148      0.039660
0.505023      0.039806
0.494898      0.039922
0.484773      0.040007
0.474648      0.040062
0.464523      0.040087
0.454397      0.040083
0.444272      0.040049
0.434147      0.039985
0.424022      0.039893
0.413897      0.039772
0.403772      0.039623
0.393647      0.039448
0.383523      0.039246
0.373398      0.039017
0.363274      0.038761
0.353150      0.038478
0.343027      0.038168
0.332904      0.037832
0.322781      0.037469
0.312658      0.037078
0.302536      0.036660
0.292414      0.036215
0.282293      0.035743
0.272172      0.035241
0.262052      0.034711
0.251932      0.034150
0.241813      0.033559
0.231694      0.032937
0.221576      0.032282
0.211459      0.031594
0.201343      0.030872
0.191227      0.030116
0.181113      0.029325
0.170999      0.028493
0.160887      0.027621
0.150775      0.026705
0.140665      0.025747
0.130557      0.024741
0.120450      0.023681
0.110346      0.022564
0.100243      0.021385
0.090143      0.020141
0.080046      0.018823
0.069953      0.017421
0.059863      0.015926
0.049778      0.014328
0.039691      0.012701
0.029615      0.010846
0.019559      0.008672
0.009556      0.005848
0.000000      0.000000
0.010646      -0.002748
0.020845      -0.003220
0.030991      -0.003329
0.041117      -0.003307
0.051231      -0.003200
0.061348      -0.003177
0.071460      -0.003147
0.081569      -0.003108
0.091674      -0.003060
0.101776      -0.003002
0.111875      -0.002941
0.121973      -0.002874
0.132068      -0.002800
0.142161      -0.002722
0.152253      -0.002640
0.162344      -0.002560
0.172433      -0.002478
0.182521      -0.002393
0.192609      -0.002306
0.202695      -0.002218
0.212781      -0.002132
0.222865      -0.002045
0.232949      -0.001958
0.243033      -0.001869
0.253115      -0.001779
0.263197      -0.001690
0.273279      -0.001599
0.283360      -0.001508
0.293441      -0.001416
0.303521      -0.001323
0.313601      -0.001231
0.323680      -0.001138
0.333759      -0.001044
0.343838      -0.000949
0.353916      -0.000852
0.363994      -0.000755
0.374072      -0.000655
0.384149      -0.000554
0.394227      -0.000450
0.404304      -0.000344
0.414381      -0.000236
0.424458      -0.000124
0.434535      -0.000008
0.444611      0.000112
0.454688      0.000237
0.464765      0.000368
0.474841      0.000505
0.484918      0.000646
0.494995      0.000793
0.505072      0.000946
0.515149      0.001106
0.525226      0.001270
0.535304      0.001438
0.545381      0.001610
0.555460      0.001787
0.565538      0.001967
0.575617      0.002148
0.585697      0.002331
0.595776      0.002514
0.605857      0.002696
0.615937      0.002876
0.626019      0.003053
0.636101      0.003228
0.646183      0.003399
0.656266      0.003564
0.666349      0.003724
0.676433      0.003877
0.686518      0.004024
0.696603      0.004163
0.706689      0.004293
0.716775      0.004414
0.726862      0.004523
0.736949      0.004619
0.747037      0.004699
0.757124      0.004762
0.767211      0.004804
0.777298      0.004823
0.787381      0.004812
0.797456      0.004764
0.807525      0.004659
0.817620      0.004508
0.827726      0.004324
0.837840      0.004114
0.847960      0.003883
0.858083      0.003630
0.868211      0.003363
0.878362      0.002721
0.888497      0.002472
0.898633      0.002223
0.908768      0.001975
0.918904      0.001726
0.929039      0.001478
0.939175      0.001230
0.949310      0.000982
0.959446      0.000734
0.969581      0.000486
0.979717      0.000237
0.989852      -0.000011
0.999988      -0.000260
