Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca652415-il-50000,,,,,
Airfoil,naca652415-il,,,,,
Reynolds number,50000,,,,,
Ncrit,9,,,,,
Mach,0,,,,,
Max Cl/Cd,23.9348,,,,,
Max Cl/Cd alpha,9,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-naca652415-il-50000,,,,,
,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.75,-0.3317,0.10869,0.10173,-0.032,1,0.3772
-9.5,-0.3335,0.10628,0.0994,-0.0305,1,0.386
-9.25,-0.3507,0.10545,0.09871,-0.0279,1,0.3982
-9,-0.3396,0.10216,0.09546,-0.0265,1,0.4032
-8.75,-0.3652,0.10191,0.09537,-0.0226,1,0.4138
-8.5,-0.5266,0.08761,0.08158,-0.0355,1,0.2271
-8.25,-0.6128,0.0849,0.07912,-0.0329,1,0.2243
-8,-0.6601,0.07741,0.07152,-0.0341,1,0.1873
-7.75,-0.701,0.07224,0.06611,-0.033,1,0.1728
-7.5,-0.728,0.06705,0.06045,-0.0319,1,0.1589
-7.25,-0.7267,0.06293,0.05619,-0.0306,1,0.1526
-7,-0.7341,0.05857,0.05107,-0.0295,1,0.1435
-6.75,-0.7263,0.05517,0.04743,-0.0284,1,0.1415
-6.5,-0.7169,0.05191,0.0438,-0.0274,1,0.1394
-6.25,-0.7045,0.04873,0.04013,-0.0266,1,0.1365
-6,-0.6887,0.0458,0.03657,-0.0258,1,0.1333
-5.75,-0.6704,0.04346,0.03362,-0.0249,1,0.1317
-5.5,-0.6515,0.04139,0.03137,-0.0241,1,0.1336
-5.25,-0.6323,0.03971,0.0295,-0.0232,1,0.1369
-5,-0.6119,0.03817,0.02768,-0.0223,1,0.1398
-4.75,-0.5906,0.0368,0.02602,-0.0212,1,0.1421
-4.5,-0.5693,0.03571,0.02464,-0.02,1,0.1455
-4.25,-0.5499,0.03454,0.02366,-0.0187,1,0.1533
-4,-0.5297,0.03379,0.0228,-0.0171,1,0.1614
-3.75,-0.5115,0.03296,0.0221,-0.0153,1,0.1717
-3.5,-0.4938,0.03212,0.02134,-0.0137,1,0.1878
-3.25,-0.4759,0.03095,0.02044,-0.0128,1,0.2178
-3,-0.4699,0.02812,0.02048,-0.0088,1,0.5708
-2.75,-0.4848,0.03039,0.02296,0.0054,1,0.7326
-2.5,-0.2426,0.04137,0.0328,-0.0067,1,0.9691
-2.25,-0.194,0.04128,0.0324,-0.0133,1,0.9841
-2,-0.1475,0.04119,0.03203,-0.0197,1,0.996
-1.75,-0.13,0.04109,0.03178,-0.0207,1,1
-1.5,-0.128,0.04087,0.03147,-0.0187,1,1
-1.25,-0.1261,0.04065,0.03116,-0.0167,1,1
-1,-0.1243,0.04043,0.03086,-0.0146,1,1
-0.75,-0.1226,0.0402,0.03055,-0.0125,1,1
-0.5,-0.1211,0.03995,0.03023,-0.0103,1,1
-0.25,-0.1198,0.0397,0.02991,-0.0081,1,1
0,-0.1189,0.03942,0.02956,-0.0058,1,1
0.25,-0.1184,0.03911,0.02919,-0.0035,1,1
0.5,-0.1182,0.03876,0.02879,-0.0011,1,1
