,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
0,0.0,905.9895401160276,0.0,0.0,2549.9961515942964,100.0,0.0,0,0.0,2700,0.0,0.0
1,0.005,905.9895401160276,0.0,0.0,2549.9961515942964,100.0,0.030051247109010543,0,0.0,2700,0.0,0.0
2,0.01,906.1244151479195,0.0004741097377219797,1.9275563039512424e-05,2549.9960194526075,99.99995411739988,0.06011005870246844,0,6.260676481043864e-08,2700,0.0003804059331657886,0.0
3,0.015,906.2591584816676,0.0018969163515649352,7.712166151861072e-05,2549.995887310919,99.99990823479976,0.09015878271710065,0,4.1742220802125386e-08,2700,0.0002536305542176385,0.0
4,0.02,906.393691009987,0.004267464872062008,0.00017349946988132195,2549.9957551692296,99.99986235219964,0.12021255102786983,0,6.260005157217756e-08,2700,0.00038036514275483223,0.0
5,0.025,906.5280805221805,0.007586710335975342,0.00030844781641959853,2549.9956230275407,99.99981646959952,0.15027136245561967,0,1.252219939127462e-07,2700,0.0007608632963464763,0.0
6,0.03,906.6623269295937,0.011855130091624658,0.00048198610836534583,2549.9954908858517,99.99977058699939,0.18033520677419063,0,2.2957477149671564e-07,2700,0.0013949228241860808,0.0
7,0.035,906.7964301032542,0.017073199705545595,0.0006941336805096637,2549.995358744163,99.99972470439927,0.2104040786162575,0,3.756653858742671e-07,2700,0.0022825862685011246,0.0
8,0.04,906.9303899360344,0.023241394606369464,0.0009449098620369675,2549.995226602474,99.99967882179915,0.2404779726128905,0,5.635008512878656e-07,2700,0.0034238962486388687,0.0
9,0.045,907.0642063209037,0.030360189624170423,0.0012343339577965341,2549.995094460785,99.99963293919903,0.2705568833895797,0,7.93088161590032e-07,2700,0.0048188952600549196,0.0
10,0.05,907.1978791509117,0.03843005898879955,0.0015624252482347722,2549.994962319096,99.99958705659891,0.30064080556779643,0,1.0644343031774828e-06,2700,0.006467625752902553,0.0
11,0.055,907.3314083191948,0.04745147632921341,0.0019292029893679225,2549.9948301774066,99.9995411739988,0.33072973376499754,0,1.3775462549948658e-06,2700,0.008370130132055419,0.0
12,0.06,907.4647937189757,0.05742491467255782,0.002334686412744808,2549.9946980357176,99.99949529139867,0.3608236625946281,0,1.7324309885250254e-06,2700,0.010526450757048384,0.0
13,0.065,907.5980352435655,0.06835084644325176,0.002778894725409589,2549.9945658940287,99.99944940879855,0.3909225866661251,0,2.1290954677834164e-06,2700,0.012936629942043596,0.0
14,0.07,907.731132786362,0.08022974346207201,0.0032618471098645493,2549.99443375234,99.99940352619844,0.42102650058492014,0,2.5675466493125273e-06,2700,0.015600709955796592,0.0
15,0.075,907.8640862408508,0.09306207694523855,0.003783562724032909,2549.994301610651,99.9993576435983,0.451135398952443,0,3.047791482176306e-06,2700,0.01851873302162244,0.0
16,0.08,907.9968955006051,0.1068483175035002,0.004344060701221652,2549.994169468962,99.99931176099818,0.4812492763661248,0,3.5698369079545895e-06,2700,0.02169074131736188,0.0
17,0.085,908.1295604592864,0.12158893514122136,0.004943360150084398,2549.994037327273,99.99926587839806,0.5113681274194015,0,4.133689860737541e-06,2700,0.02511677697534753,0.0
18,0.09,908.2620810106438,0.13728439925546898,0.005581480154584275,2549.9939051855836,99.99921999579794,0.541491946701717,0,4.739357267120087e-06,2700,0.028796882082370086,0.0
19,0.095,908.3944570485149,0.15393517863510023,0.0062584397739568354,2549.9937730438946,99.99917411319782,0.5716207287985263,0,5.3868460461963645e-06,2700,0.03273109867964458,0.0
20,0.1,908.5266884668263,0.17154174145985115,0.006974258042672999,2549.9936409022057,99.9991282305977,0.6017544682912993,0,6.076163109554165e-06,2700,0.036919468762776624,0.0
21,0.105,908.6587751595921,0.19010455529942522,0.007728953970402003,2549.9935087605168,99.99908234799759,0.6318931597575236,0,6.807315361269392e-06,2700,0.04136203428172873,0.0
22,0.11,908.7907170209162,0.20962408711258335,0.008522546541974393,2549.993376618828,99.99903646539747,0.662036797770708,0,7.58030969790052e-06,2700,0.046058837140786624,0.0
23,0.115,908.922513944991,0.2301008032462337,0.009355054717345036,2549.993244477139,99.99899058279735,0.692185376900386,0,8.395153008483047e-06,2700,0.05100991919852561,0.0
24,0.12,909.0541658260984,0.25153516943452314,0.01022649743155616,2549.99311233545,99.99894470019723,0.7223388917121187,0,9.25185217452398e-06,2700,0.056215322267776945,0.0
25,0.125,909.1856725586089,0.2739276507979282,0.01113689359470042,2549.992980193761,99.99889881759711,0.7524973367674986,0,1.0150414069996284e-05,2700,0.061675088115594225,0.0
26,0.13,909.3170340369834,0.29727871184234744,0.012086262091883975,2549.9928480520716,99.99885293499699,0.7826607066241528,0,1.1090845561333376e-05,2700,0.06738925846321986,0.0
27,0.135,909.4482501557719,0.32158881645819404,0.013074621783189615,2549.9927159103827,99.99880705239687,0.8128289958357461,0,1.20731535074236e-05,2700,0.07335787498605154,0.0
28,0.14,909.5793208096146,0.34685842791948995,0.014101991503639914,2549.9925837686937,99.99876116979675,0.8430021989519847,0,1.3097344759604705e-05,2700,0.07958097931360865,0.0
29,0.145,909.7102458932413,0.37308800888295895,0.015168390063160375,2549.992451627005,99.99871528719663,0.8731803105186193,0,1.4163426161658352e-05,2700,0.08605861302949892,0.0
30,0.15,909.8410253014724,0.4002780213871219,0.016273836246542626,2549.992319485316,99.99866940459651,0.9033633250774487,0,1.5271404549804592e-05,2700,0.09279081767138486,0.0
31,0.155,909.9716589292183,0.4284289268513923,0.017418348813407678,2549.992187343627,99.9986235219964,0.9335512371663229,0,1.642128675269637e-05,2700,0.0997776347309504,0.0
32,0.16,910.1021466714805,0.4575411860751717,0.018601946498169118,2549.992055201938,99.99857763939626,0.963744041319147,0,1.7613079591414042e-05,2700,0.10701910565386749,0.0
33,0.165,910.2324884233502,0.48761525923694743,0.01982464800999643,2549.991923060249,99.99853175679614,0.9939417320658839,0,1.8846789879459863e-05,2700,0.1145152718397627,0.0
34,0.17,910.3626840800108,0.5186516058933887,0.02108647203277827,2549.99179091856,99.99848587419602,1.024144303932558,0,2.0122424422752512e-05,2700,0.12226617464218392,0.0
35,0.17500000000000002,910.4927335367357,0.5506506849784455,0.02238743722508582,2549.991658776871,99.9984399915959,1.054351751441259,0,2.1439990019621617e-05,2700,0.13027185536856706,0.0
36,0.18,910.6226366888899,0.5836129548024469,0.023727562220136104,2549.9915266351823,99.99839410899578,1.0845640691101446,0,2.2799493460802252e-05,2700,0.13853235528020266,0.0
37,0.185,910.75239343193,0.6175388730512003,0.025106865625755384,2549.9913944934933,99.99834822639566,1.1147812514534439,0,2.42009415294295e-05,2700,0.1470477155922029,0.0
38,0.19,910.8820036614039,0.6524288967850919,0.026525366024342606,2549.9912623518044,99.99830234379554,1.1450032929814622,0,2.5644341001032957e-05,2700,0.15581797747346798,0.0
39,0.195,911.0114672729513,0.6882834824381868,0.027983081972832793,2549.9911302101154,99.99825646119542,1.1752301882005827,0,2.7129698643531283e-05,2700,0.16484318204665335,0.0
40,0.2,911.1407841623042,0.725103085817331,0.029480032002660528,2549.990998068426,99.9982105785953,1.2054619316132702,0,2.8657021217226737e-05,2700,0.17412337038813624,0.0
41,0.20500000000000002,911.2699542252856,0.7628881621012525,0.031016234619723443,2549.990865926737,99.99816469599517,1.2356985177180764,0,3.022631547479973e-05,2700,0.18365858352798264,0.0
