,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
0,222.76,76.30682180868422,1737.9811683418925,301.1102821502537,2545.6610011164585,98.49473714650452,71.40313378910949,0,5.186088773338177,250,31511.27430519129,0.0
1,222.765,76.30682180868422,2009.247410369248,301.1102821502537,2545.6610011164585,98.49473714650452,71.38668324439043,0,5.1861879443573295,250,31511.876879756477,0.0
2,222.76999999999998,76.32371267524555,2008.3216973070198,300.9740250566544,2545.6609888811163,98.49473289811561,71.37022050488221,0,5.1862870811045125,250,31512.479246081228,0.0
3,222.77499999999998,76.34062090703786,2007.3955115502172,300.8376973349676,2545.6609766457746,98.49472864972671,71.35377402394342,0,5.186386263540596,250,31513.08189001701,0.0
4,222.78,76.35751727894323,2006.4704537919722,300.7015345960871,2545.660964410433,98.4947244013378,71.33731942095577,0,5.186485423153636,250,31513.684395277345,0.0
5,222.785,76.37442683491733,2005.5451525484127,300.56533496705003,2545.660952175091,98.4947201529489,71.32085667423053,0,5.18658455987636,250,31514.286761453477,0.0
6,222.79,76.3913496044268,2004.619606916338,300.4290983135716,2545.6609399397494,98.49471590456,71.30438580507715,0,5.186683673762378,250,31514.888988871142,0.0
7,222.795,76.4082855727486,2003.6938184103733,300.29282485733995,2545.6609277044076,98.49471165617109,71.28790681173635,0,5.186782764800447,250,31515.491077462037,0.0
8,222.79999999999998,76.4252347488686,2002.7677872480103,300.15651462892816,2545.660915469066,98.49470740778219,71.27141969241731,0,5.186881832979229,250,31516.093027157265,0.0
9,222.80499999999998,76.44219714181071,2001.8415136452097,300.02016765878585,2545.660903233724,98.49470315939328,71.25492444535342,0,5.186980878287446,250,31516.694837888288,0.0
10,222.81,76.45917276057949,2000.9149978195471,299.883783977639,2545.660890998382,98.49469891100438,71.23842106878058,0,5.1870799007138135,250,31517.296509586562,0.0
11,222.815,76.47616161418263,1999.988239988981,299.7473636162249,2545.6608787630407,98.49469466261547,71.22190956093706,0,5.187178900247048,250,31517.898042183508,0.0
12,222.82,76.49316371163098,1999.0612403718567,299.61090660533137,2545.6608665276985,98.49469041422657,71.20538992006362,0,5.187277876875861,250,31518.49943561055,0.0
13,222.825,76.51017906193846,1998.1339991869036,299.4744129758075,2545.6608542923573,98.49468616583766,71.18886214440344,0,5.187376830588964,250,31519.10068979909,0.0
14,222.82999999999998,76.52720767412205,1997.2065166532366,299.33788275853595,2545.660842057015,98.49468191744876,71.17232623220218,0,5.1874757613750635,250,31519.70180468051,0.0
15,222.83499999999998,76.54424955720195,1996.2787929903564,299.2013159845374,2545.6608298216734,98.49467766905985,71.15578218170792,0,5.187574669222866,250,31520.302780186183,0.0
16,222.84,76.56130472020132,1995.3508284181487,299.0647126847439,2545.660817586332,98.49467342067095,71.13922999117123,0,5.187673554121074,250,31520.90361624747,0.0
17,222.845,76.57837317214646,1994.4226231568873,298.9280728903139,2545.66080535099,98.49466917228204,71.12266965884514,0,5.187772416058388,250,31521.504312795718,0.0
18,222.85,76.5954549220668,1993.4941774272288,298.79139663233985,2545.660793115648,98.49466492389314,71.10610118298513,0,5.187871255023505,250,31522.104869762246,0.0
19,222.855,76.61254997899479,1992.5654914502181,298.6546839420027,2545.6607808803064,98.49466067550424,71.08952456184917,0,5.187970071005123,250,31522.70528707837,0.0
20,222.85999999999999,76.62965835196596,1991.636565447286,298.517934850596,2545.6607686449647,98.49465642711533,71.0729397936977,0,5.188068863991932,250,31523.30556467539,0.0
