,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
0,0.0,718.831895069682,0.0,0.0,2549.9961515942964,100.0,0.0,0,0.0,4000,0.0,0.0
1,0.005,718.831895069682,0.0,0.0,2549.9961515942964,100.0,0.023055733756991558,0,0.0,4000,0.0,0.0
2,0.01,718.8573928679239,0.0002033032848668722,1.1345926608993188e-05,2549.9961515942964,99.99919315203336,0.04611289690554649,0,4.8032778660399084e-08,4000,0.00029185271023313353,0.0
3,0.015,718.8828378144239,0.0008132635572086646,4.5386520143540464e-05,2549.9961515942964,99.99838630406671,0.06916815327545357,0,3.202267963445782e-08,4000,0.00019457349961619387,0.0
4,0.02,718.9082262292105,0.0018297799322624952,0.00010211615043826416,2549.9961515942964,99.99757945610006,0.09222436362365848,0,4.803150976169507e-08,4000,0.0002918450002580685,0.0
5,0.025,718.9335612659194,0.003252953336426676,0.00018154044998212732,2549.9961515942964,99.99677260813341,0.11528152590953075,0,9.606715727773727e-08,4000,0.0005837151419894011,0.0
6,0.03,718.9588429155589,0.005082834063342922,0.00028366222555696894,2549.9961515942964,99.99596576016675,0.13833963767167898,0,1.7612333053057877e-07,4000,0.0010701456960060102,0.0
7,0.035,718.9840711686971,0.007319472220249334,0.0004084842735418366,2549.9961515942964,99.99515891220013,0.16139869667485396,0,2.8820135566368615e-07,4000,0.0017511447201087494,0.0
8,0.04,719.0092460161711,0.009962917770722779,0.0005560093822983479,2549.9961515942964,99.99435206423347,0.18445870068345993,0,4.3230255665287757e-07,4000,0.00262672025892759,0.0
9,0.045,719.0343674488386,0.013013220522649012,0.0007262403314993284,2549.9961515942964,99.99354521626682,0.20751964746151003,0,6.084282537672587e-07,4000,0.0036968803345700896,0.0
10,0.05,719.0594354575782,0.016470430128168845,0.0009191798921258079,2549.9961515942964,99.99273836830017,0.23058153477264495,0,8.165797641716375e-07,4000,0.004961632950281735,0.0
11,0.055,719.0844500332881,0.020334596083630824,0.001134830826464379,2549.9961515942964,99.99193152033354,0.25364436038013377,0,1.05675840192611e-06,4000,0.0064209860904434245,0.0
12,0.06,719.1094111668878,0.024605767729542417,0.0013731958881044728,2549.9961515942964,99.99112467236688,0.276708122046875,0,1.3289654779854944e-06,4000,0.008074947720568031,0.0
13,0.065,719.1343188493166,0.02928399425052136,0.0016342778219356447,2549.9961515942964,99.99031782440024,0.29977281753539703,0,1.6332023001988126e-06,4000,0.009923525787297249,0.0
14,0.07,719.1591730715344,0.03436932467524712,0.0019180793641448645,2549.9961515942964,99.98951097643358,0.32283844460785954,0,1.9694701733087736e-06,4000,0.011966728218398457,0.0
15,0.075,719.1839738245221,0.039861807876412504,0.0022246032422138158,2549.9961515942964,99.98870412846695,0.34590500102605387,0,2.3377703989512585e-06,4000,0.014204562922761586,0.0
