,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
0,0.0,881.3606204729948,0.0,0.0,121956.67320520617,2549.8253757968887,100.0,0.0,0.0,0.0,2700,606.228366380277,0.0
1,0.005,901.2957369111432,0.0,0.0,124829.93033976483,2549.9961515942964,100.0,0.02987580376560137,0.0,0.0,2700,606.228366380277,0.0
2,0.01,901.4335137293128,0.00038642621312597134,1.7272318743496478e-05,124829.93033976483,2549.996017344706,99.99995338548854,0.059759334650831185,0.0,6.224125784500286e-08,2700,606.228366380277,0.0
3,0.015,901.5711610094842,0.0015461046616167234,6.910714547603501e-05,124829.93033976483,2549.9958830951155,99.99990677097708,0.08963256110445711,0.0,4.1498643609416524e-08,2700,606.228366380277,0.0
4,0.02,901.7085957174443,0.0034782355882861933,0.00015546873298232362,124829.93033976483,2549.995748845525,99.99986015646563,0.11951094023348363,0.0,6.223440028971954e-08,2700,606.228366380277,0.0
5,0.025,901.8458890078399,0.006183618800751105,0.00027639283073178304,124829.93033976483,2549.9956145959345,99.99981354195417,0.1493944710138214,0.0,1.2449116191763873e-07,2700,606.228366380277,0.0
6,0.03,901.9830407905376,0.009662654082235003,0.00043189730806927353,124829.93033976483,2549.995480346344,99.9997669274427,0.1792831429256652,0.0,2.282349370028103e-07,2700,606.228366380277,0.0
7,0.035,902.1200509319099,0.013915739704823299,0.0006219999667954291,124829.93033976483,2549.9953460967536,99.99972031293125,0.20917695054896984,0.0,3.7347287725481353e-07,2700,606.228366380277,0.0
8,0.04,902.2569193218817,0.01894327384402312,0.000846718604394068,124829.93033976483,2549.995211847163,99.99967369841978,0.239075888462107,0.0,5.602121480015841e-07,2700,606.228366380277,0.0
9,0.045,902.3936458504764,0.02474565418239704,0.0011060709963155765,124829.93033976483,2549.995077597572,99.99962708390832,0.26897995123757734,0.0,7.884598934665514e-07,2700,606.228366380277,0.0
10,0.05,902.5302304077959,0.03132327790811859,0.0014000748959123448,124829.93033976483,2549.994943347982,99.99958046939686,0.29888913344369433,0.0,1.0582232503439222e-06,2700,606.228366380277,0.0
11,0.055,902.666672884028,0.038676541714407014,0.0017287480344135013,124829.93033976483,2549.994809098391,99.9995338548854,0.3288034296445885,0.0,1.3695093478029145e-06,2700,606.228366380277,0.0
12,0.06,902.8029731694477,0.046805841798745605,0.0020921081208899743,124829.93033976483,2549.994674848801,99.99948724037394,0.3587228344002106,0.0,1.7223253074774647e-06,2700,606.228366380277,0.0
13,0.065,902.9391311544166,0.05571157386210008,0.002490172842219555,124829.93033976483,2549.9945405992103,99.99944062586248,0.3886473422663346,0.0,2.116678243460405e-06,2700,606.228366380277,0.0
14,0.07,903.0751467293832,0.06539413310813756,0.002922959863051989,124829.93033976483,2549.9944063496196,99.99939401135103,0.41857694779456106,0.0,2.552575262297655e-06,2700,606.228366380277,0.0
15,0.075,903.2110197848832,0.07585391424244609,0.0033904868257740887,124829.93033976483,2549.9942721000293,99.99934739683957,0.4485116455323207,0.0,3.0300234629824117e-06,2700,606.228366380277,0.0
16,0.08,903.3467502115395,0.08709131147175461,0.003892771350474869,124829.93033976483,2549.9941378504386,99.9993007823281,0.4784514300228773,0.0,3.549029936949347e-06,2700,606.228366380277,0.0
17,0.085,903.4823379000629,0.0991067185031535,0.004429831034910708,124829.93033976483,2549.994003600848,99.99925416781664,0.5083962958053314,0.0,4.10960176806881e-06,2700,606.228366380277,0.0
18,0.09,903.6177827412514,0.11190052854331548,0.005001683454470523,124829.93033976483,2549.9938693512577,99.99920755330518,0.5383462374146236,0.0,4.711746032641032e-06,2700,606.228366380277,0.0
19,0.095,903.7530846259913,0.12547313429771723,0.005608346162140976,124829.93033976483,2549.993735101667,99.99916093879374,0.5683012493815377,0.0,5.355469799390337e-06,2700,606.228366380277,0.0
20,0.1,903.8882434452564,0.13982492796986135,0.006249836688471703,124829.93033976483,2549.9936008520767,99.99911432428227,0.5982613262327041,0.0,6.040780129459357e-06,2700,606.228366380277,0.0
21,0.105,904.0232590901096,0.15495630126049878,0.0069261725415405515,124829.93033976483,2549.993466602486,99.9990677097708,0.6282264624906037,0.0,6.767684076403253e-06,2700,606.228366380277,0.0
22,0.11,904.1581314517014,0.17086764536685203,0.007637371206918869,124829.93033976483,2549.9933323528953,99.99902109525934,0.6581966526735703,0.0,7.536188686183938e-06,2700,606.228366380277,0.0
23,0.115,904.2928604212714,0.18755935098183865,0.008383450147636778,124829.93033976483,2549.993198103305,99.99897448074788,0.6881718912957949,0.0,8.346300997164308e-06,2700,606.228366380277,0.0
24,0.12,904.4274458901476,0.20503180829329512,0.009164426804148513,124829.93033976483,2549.9930638537144,99.99892786623643,0.7181521728673288,0.0,9.198028040102472e-06,2700,606.228366380277,0.0
