,dzdx
0,0.06261353043127031
1,0.03130674004171536
2,0.031306614281422854
3,0.03130619547216179
4,0.03130487711221589
5,0.03130116730933598
6,0.03129311072031896
7,0.03127878160492482
8,0.031256000337995055
9,0.031222607101095545
10,0.031176044575747547
11,0.03111298146850865
12,0.031029979190652108
13,0.030923508136138155
14,0.03079023261063759
15,0.03062765356369563
16,0.030431994816582077
17,0.030198684306381247
18,0.029926623865280173
19,0.029614007407914807
20,0.029256739190198854
21,0.028855672175533618
22,0.028410248216443012
23,0.027915523558443494
24,0.027367844887286323
25,0.026766017955783827
26,0.026114840989477087
27,0.0254157980952135
28,0.024664870712124226
29,0.023860784687807862
30,0.023009122832515046
31,0.022114555433453125
32,0.021175339547964824
33,0.020191634131467105
34,0.019169916181850297
35,0.01811475143626874
36,0.017025342464641838
37,0.015904858946357223
38,0.014759228724897709
39,0.013590764625081877
40,0.012400301095274206
41,0.011192549456051554
42,0.009971055768912529
43,0.008736529001647557
44,0.007492061857354631
45,0.00624089692098408
46,0.0049842585070315895
47,0.003724007616649088
48,0.002462740340479926
49,0.0012021290810389032
50,-5.65316745241056e-05
51,-0.0013111619313727757
52,-0.0025596976012076536
53,-0.003800758261293142
54,-0.005032293595941587
55,-0.006251597336455057
56,-0.0074568420441188474
57,-0.008645828840615195
58,-0.00981514711247019
59,-0.010962514227042393
60,-0.012085807386571189
61,-0.013180991952645814
62,-0.014245218058070348
63,-0.015277100911784863
64,-0.016272570396147525
65,-0.01722787430281138
66,-0.01814245533885742
67,-0.01901409439321346
68,-0.01983863077310737
69,-0.02061473332095313
70,-0.021343292363041343
71,-0.022022447928937077
72,-0.022649717066434642
73,-0.02322599322747354
74,-0.023753457099013553
75,-0.02423247186457585
76,-0.02466262481433093
77,-0.02504579325483338
78,-0.025385062397658482
79,-0.025683296126320768
80,-0.025942610820271723
81,-0.02616545447010818
82,-0.026355198788180052
83,-0.026514967785783963
84,-0.026647723335302003
85,-0.02675634509313922
86,-0.026843954510011935
87,-0.026914273797879258
88,-0.026970461303470774
89,-0.027014572429608752
90,-0.02704842808960746
91,-0.027073722849334222
92,-0.027092016435340815
93,-0.02710472594155633
94,-0.02711311876691468
95,-0.02711830631324086
96,-0.027121238469547018
97,-0.02712269890562493
98,-0.027123301194452252
99,-0.027123485779489274
100,-0.05424704545715928
