Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca652415-il-100000,,,,,
Airfoil,naca652415-il,,,,,
Reynolds number,100000,,,,,
Ncrit,9,,,,,
Mach,0,,,,,
Max Cl/Cd,46.6667,,,,,
Max Cl/Cd alpha,7.75,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-naca652415-il-100000,,,,,
,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.5,-0.4552,0.10131,0.09661,-0.057,1,0.1604
-10.25,-0.4085,0.09876,0.09396,-0.0514,1,0.1648
-10,-0.4145,0.09699,0.09229,-0.0493,1,0.1719
-9.75,-0.473,0.09522,0.09075,-0.048,1,0.1751
-9.5,-0.5355,0.09322,0.08896,-0.0462,1,0.1757
-9.25,-0.4696,0.09255,0.08817,-0.0395,1,0.185
-9,-0.5078,0.09071,0.08648,-0.0372,1,0.1885
-8.75,-0.5617,0.08789,0.08383,-0.0362,1,0.1899
-8.5,-0.5455,0.08675,0.08269,-0.0318,0.9999,0.1979
-8.25,-0.6319,0.07788,0.07364,-0.0475,0.9816,0.2071
-7.25,-0.6194,0.04488,0.03746,-0.0555,0.9519,0.0853
-7,-0.597,0.04139,0.0337,-0.0559,0.9465,0.0831
-6.75,-0.5656,0.03831,0.03017,-0.0574,0.9425,0.081
-6.5,-0.5434,0.03631,0.0278,-0.0569,0.9369,0.0807
-6.25,-0.5187,0.0348,0.02597,-0.0568,0.9315,0.0827
-6,-0.4844,0.0332,0.02404,-0.0581,0.9277,0.0841
-5.75,-0.4521,0.03189,0.02248,-0.059,0.9237,0.0852
-5.5,-0.4323,0.03095,0.02137,-0.0576,0.9173,0.0868
-5.25,-0.4005,0.02951,0.02009,-0.0587,0.9135,0.0917
-5,-0.3638,0.02862,0.01917,-0.0604,0.9105,0.0974
-4.75,-0.3499,0.02823,0.01871,-0.0581,0.9043,0.1007
-4.5,-0.328,0.02734,0.01801,-0.0576,0.8991,0.1079
-4.25,-0.2965,0.02652,0.0173,-0.0587,0.8954,0.123
-3.75,-0.2807,0.0232,0.01652,-0.0542,0.8848,0.5403
-3.5,-0.2614,0.02459,0.01806,-0.0499,0.8802,0.6695
-3.25,-0.2434,0.02571,0.01914,-0.0463,0.8755,0.7028
-3,-0.2377,0.02656,0.01996,-0.0415,0.8693,0.7232
-2.75,-0.2222,0.0276,0.02096,-0.0374,0.8651,0.7491
-2.5,-0.2096,0.02932,0.02273,-0.0299,0.8618,0.7838
-2.25,-0.2218,0.03019,0.02363,-0.0213,0.8547,0.8053
-2,-0.2143,0.03109,0.0245,-0.0151,0.8504,0.831
-1.75,-0.1885,0.03131,0.02459,-0.0144,0.8473,0.8445
-1.5,-0.1715,0.03146,0.02463,-0.013,0.843,0.8523
-1.25,-0.1665,0.03142,0.02452,-0.0103,0.8372,0.8609
-1,-0.1427,0.0315,0.0245,-0.0103,0.8336,0.8673
-0.75,-0.1115,0.0315,0.02436,-0.012,0.8306,0.8742
-0.5,-0.1037,0.03166,0.02449,-0.0095,0.8254,0.8806
-0.25,-0.0922,0.03175,0.02451,-0.0081,0.8207,0.8887
0,-0.0661,0.0319,0.0246,-0.0086,0.8172,0.8943
0.25,-0.0293,0.03205,0.02466,-0.0107,0.8142,0.9001
0.5,-0.028,0.0323,0.02489,-0.0079,0.8087,0.9084
0.75,-0.0121,0.03254,0.0251,-0.0072,0.8044,0.9165
1,0.0197,0.03275,0.02525,-0.0086,0.8005,0.923
1.25,0.0618,0.03303,0.02549,-0.0116,0.7976,0.9286
1.5,0.0618,0.0335,0.02596,-0.0091,0.7915,0.939
1.75,0.0888,0.03383,0.02628,-0.0103,0.7867,0.9477
2,0.1353,0.03423,0.02666,-0.0143,0.7832,0.9531
2.25,0.1604,0.03484,0.02729,-0.0158,0.7775,0.9618
2.5,0.1976,0.03547,0.02794,-0.0193,0.7718,0.9689
2.75,0.2503,0.03587,0.02836,-0.0244,0.7677,0.9741
3,0.2866,0.03668,0.02922,-0.0282,0.7612,0.9809
3.25,0.3305,0.03729,0.02988,-0.0327,0.7549,0.9869
3.5,0.3896,0.03754,0.03019,-0.0385,0.7511,0.9914
3.75,0.3863,0.03835,0.03104,-0.0364,0.7415,1
4,0.4073,0.03831,0.03102,-0.0358,0.7361,1
4.25,0.4019,0.03898,0.03169,-0.0328,0.7264,1
4.5,0.4417,0.0391,0.03186,-0.0351,0.7206,1
4.75,0.4557,0.03995,0.03276,-0.0349,0.7105,1
5,0.4996,0.03996,0.03285,-0.0375,0.7047,1
5.25,0.516,0.04082,0.03376,-0.0375,0.6936,1
5.5,0.5671,0.04037,0.03344,-0.0402,0.6883,1
5.75,0.5841,0.0411,0.03424,-0.0399,0.6758,1
6,0.6363,0.04026,0.03355,-0.0422,0.6701,1
6.25,0.664,0.04025,0.03366,-0.0424,0.6582,1
6.5,0.691,0.04022,0.03376,-0.0423,0.6457,1
6.75,0.8632,0.02704,0.02102,-0.0481,0.6323,1
7,0.9453,0.0221,0.01624,-0.0511,0.6087,1
7.25,0.9651,0.021,0.01523,-0.0485,0.5777,1
7.5,0.9673,0.02074,0.01503,-0.0439,0.5354,1
7.75,0.9632,0.02064,0.01416,-0.0375,0.3921,1
8,0.9359,0.02327,0.01571,-0.0308,0.2584,1
8.25,0.9117,0.02653,0.01807,-0.0259,0.1635,1
8.5,0.9039,0.0291,0.02017,-0.0227,0.125,1
8.75,0.9074,0.03103,0.02191,-0.0205,0.1063,1
9,0.916,0.03274,0.02345,-0.0188,0.0959,1
9.25,0.9322,0.03404,0.02474,-0.0177,0.0871,1
9.5,0.9561,0.03535,0.02595,-0.017,0.0801,1
9.75,0.9885,0.03654,0.02711,-0.0171,0.075,1
